"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"Parent Molecule ChEMBL ID"
"CHEMBL2103851";"AMUVATINIB";"Small molecule";"2";"None";"'-tinib'";"S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1";"Tyrosine-protein kinase receptor FLT3 inhibitor";"Inhibits mutant forms of KIT, FLT3 and PDGFRA (http://www.google.com/patents/US20080226747).";"";"CHEMBL1974";"Receptor-type tyrosine-protein kinase FLT3";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2103851': [{'ref_id': 'http://www.google.com/patents/US20080226747', 'ref_url': 'http://www.google.com/patents/US20080226747', 'ref_type': 'Other'}, {'ref_id': '24326130', 'ref_url': 'http://europepmc.org/abstract/MED/24326130', 'ref_type': 'PubMed'}, {'ref_id': '25110867', 'ref_url': 'http://europepmc.org/abstract/MED/25110867', 'ref_type': 'PubMed'}]}";"Amuvatinib (INN, USAN, USAN)|Amuvatinib hydrochloride (USAN)|";"CHEMBL2103851"
"CHEMBL3545365";"ALTIRATINIB";"Small molecule";"2";"None";"'-tinib'";"O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1";"Hepatocyte growth factor receptor inhibitor";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545365': [{'ref_id': 'http://www.deciphera.com/pipeline', 'ref_url': 'http://www.deciphera.com/pipeline', 'ref_type': 'Other'}, {'ref_id': '26285778', 'ref_url': 'http://europepmc.org/abstract/MED/26285778', 'ref_type': 'PubMed'}]}";"Altiratinib (INN, USAN, USAN)|";"CHEMBL3545365"
"CHEMBL236297";"RIFALAZIL";"Small molecule";"3";"None";"'rifa-'";"CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(=O)c(c5oc6cc(N7CCN(CC(C)C)CC7)cc(O)c6nc-5c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C";"DNA-directed RNA polymerase inhibitor";"";"";"CHEMBL4296169";"DNA-directed RNA polymerase";"INHIBITOR";"PROTEIN COMPLEX";"Escherichia coli";"";"";"{'CHEMBL236297': [{'ref_id': '15728882', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/15728882/', 'ref_type': 'PubMed'}]}";"Rifalazil (INN, MI, USAN)|";"CHEMBL236297"
"CHEMBL1685";"DEZOCINE";"Small molecule";"4";"1989";"";"C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N";"Kappa opioid receptor antagonist";"";"";"CHEMBL237";"Kappa-type opioid receptor";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL1685': [{'ref_id': '0443-059748 PP. 592', 'ref_url': 'http://www.isbnsearch.org/isbn/0443059748', 'ref_type': 'ISBN'}, {'ref_id': '1348168', 'ref_url': 'http://europepmc.org/abstract/MED/1348168', 'ref_type': 'PubMed'}]}";"Dezocine (INN, MI, USAN)|";"CHEMBL1685"
"CHEMBL3545365";"ALTIRATINIB";"Small molecule";"2";"None";"'-tinib'";"O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1";"Vascular endothelial growth factor receptor 2 inhibitor";"";"";"CHEMBL279";"Vascular endothelial growth factor receptor 2";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL3545365': [{'ref_id': 'http://www.deciphera.com/pipeline', 'ref_url': 'http://www.deciphera.com/pipeline', 'ref_type': 'Other'}, {'ref_id': '26285778', 'ref_url': 'http://europepmc.org/abstract/MED/26285778', 'ref_type': 'PubMed'}]}";"Altiratinib (INN, USAN, USAN)|";"CHEMBL3545365"
"CHEMBL4594503";"TALQUETAMAB";"Antibody";"4";"2023";"'-mab'";"None";"G-protein coupled receptor family C group 5 member D binding agent";"Directs cytotoxic T-cells to tumours";"";"CHEMBL4523925";"G-protein coupled receptor family C group 5 member D";"BINDING AGENT";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4594503': [{'ref_id': '33890981', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/33890981/', 'ref_type': 'PubMed'}]}";"Talquetamab (INN, USAN)|";"CHEMBL4594503"
"CHEMBL3707224";"SOFPIRONIUM";"Small molecule";"4";"2024";"'-ium; -onium'";"CCOC(=O)C[N+]1(C)CC[C@@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1";"Muscarinic acetylcholine receptor inhibitor";"";"";"CHEMBL2094109";"Muscarinic acetylcholine receptor";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"";"{'CHEMBL3707223': [{'ref_id': 'D10989', 'ref_url': 'http://www.kegg.jp/dbget-bin/www_bget?dr:D10989', 'ref_type': 'KEGG'}, {'ref_id': '32068049', 'ref_url': 'http://europepmc.org/abstract/MED/32068049', 'ref_type': 'PubMed'}]}";"Sofpironium bromide (INN, USAN)|";"CHEMBL3707224"
"CHEMBL3545365";"ALTIRATINIB";"Small molecule";"2";"None";"'-tinib'";"O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1";"Neurotrophic tyrosine kinase receptor inhibitor";"";"";"CHEMBL3559684";"Neurotrophic tyrosine kinase receptor";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"";"{'CHEMBL3545365': [{'ref_id': 'http://www.deciphera.com/pipeline', 'ref_url': 'http://www.deciphera.com/pipeline', 'ref_type': 'Other'}, {'ref_id': '26285778', 'ref_url': 'http://europepmc.org/abstract/MED/26285778', 'ref_type': 'PubMed'}]}";"Altiratinib (INN, USAN, USAN)|";"CHEMBL3545365"
"CHEMBL4650419";"QUAVONLIMAB";"Antibody";"3";"None";"'-mab'";"None";"Cytotoxic T-lymphocyte protein 4 inhibitor";"";"";"CHEMBL2364164";"Cytotoxic T-lymphocyte protein 4";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL4650419': [{'ref_id': '33276076', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/33276076/', 'ref_type': 'PubMed'}]}";"Quavonlimab (INN, USAN)|";"CHEMBL4650419"
"CHEMBL2111112";"VERNAKALANT";"Small molecule";"4";"2010";"'-kalant'";"COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC";"Sodium channel protein type V alpha subunit blocker";"Also partially blocks the hERG channel.";"";"CHEMBL1980";"Sodium channel protein type 5 subunit alpha";"BLOCKER";"SINGLE PROTEIN";"Homo sapiens";"";"";"{'CHEMBL2107383': [{'ref_id': 'https://www.ema.europa.eu/en/medicines/human/EPAR/brinavess', 'ref_url': 'https://www.ema.europa.eu/en/medicines/human/EPAR/brinavess', 'ref_type': 'EMA'}, {'ref_id': 'https://www.fda.gov/media/133640/download', 'ref_url': 'https://www.fda.gov/media/133640/download', 'ref_type': 'FDA'}, {'ref_id': '17371199', 'ref_url': 'http://europepmc.org/abstract/MED/17371199', 'ref_type': 'PubMed'}, {'ref_id': '23637539', 'ref_url': 'http://europepmc.org/abstract/MED/23637539', 'ref_type': 'PubMed'}, {'ref_id': '28265756', 'ref_url': 'http://europepmc.org/abstract/MED/28265756', 'ref_type': 'PubMed'}]}";"Vernakalant hydrochloride (MI, USAN)|Vernakalant (INN, MI)|";"CHEMBL2111112"
