"Molecule ChEMBL ID";"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Warning Type";"Warning Class";"Description";"Country";"First Withdrawn Year";"EFO ID";"EFO Term";"EFO ID for Warning Class";"References"
"CHEMBL2105613";"CHEMBL109";"VALPROIC ACID";"Black Box Warning";"gastrointestinal toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011050";"Type: DailyMed RefID: 59b94f04-42a0-2100-e053-2991aa0ab8f1 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=59b94f04-42a0-2100-e053-2991aa0ab8f1|Type: DailyMed RefID: 9cfdcb58-d6d7-43bb-b6e1-17172b143296 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9cfdcb58-d6d7-43bb-b6e1-17172b143296|Type: DailyMed RefID: 888fb978-ff34-1692-e053-2a95a90a25e0 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=888fb978-ff34-1692-e053-2a95a90a25e0|Type: DailyMed RefID: 33f07aac-4dc5-4f97-976a-a84f93497bc6 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=33f07aac-4dc5-4f97-976a-a84f93497bc6|Type: FDA RefID: c284a8fd-9fcc-41d3-ac03-bade61deaa21 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c284a8fd-9fcc-41d3-ac03-bade61deaa21|Type: FDA RefID: 74a9f020-f7a1-44e2-a452-f0e37bd3e077 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=74a9f020-f7a1-44e2-a452-f0e37bd3e077|Type: FDA RefID: 319bbead-bec8-4bb7-9ecb-b2e161c44b8d URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=319bbead-bec8-4bb7-9ecb-b2e161c44b8d|Type: FDA RefID: 63d61062-2700-47f4-8ab4-3bd641b81fe1 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=63d61062-2700-47f4-8ab4-3bd641b81fe1|Type: FDA RefID: f34c4504-5409-406e-995b-138e5f700242 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f34c4504-5409-406e-995b-138e5f700242|Type: DailyMed RefID: c572ece7-03d3-4c2a-aeb5-61f2023b28ea URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c572ece7-03d3-4c2a-aeb5-61f2023b28ea|Type: DailyMed RefID: bcf57b31-4811-4104-82b3-46fb91a53ee0 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bcf57b31-4811-4104-82b3-46fb91a53ee0|Type: FDA RefID: 856ecdad-a8e0-4bda-a217-cd7948ddfa59 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=856ecdad-a8e0-4bda-a217-cd7948ddfa59|Type: FDA RefID: 8d5fc1c1-d3c0-497e-971b-6c4dba9a3fad URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d5fc1c1-d3c0-497e-971b-6c4dba9a3fad|Type: DailyMed RefID: 7d4df6ad-3d53-4664-9200-749487bf3689 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7d4df6ad-3d53-4664-9200-749487bf3689|Type: DailyMed RefID: 7af84664-7e3b-43f3-a43e-beba36ffb739 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7af84664-7e3b-43f3-a43e-beba36ffb739|Type: DailyMed RefID: 597a6144-324b-9533-e053-2991aa0ab896 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=597a6144-324b-9533-e053-2991aa0ab896|Type: DailyMed RefID: 8785a152-3010-4370-aaf5-11315a1a56e1 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8785a152-3010-4370-aaf5-11315a1a56e1|Type: FDA RefID: b7872509-f197-4e7a-8248-7dd6d376e408 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b7872509-f197-4e7a-8248-7dd6d376e408|Type: FDA RefID: a9cef1ec-ba52-4849-8889-87898d6f4199 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a9cef1ec-ba52-4849-8889-87898d6f4199|Type: FDA RefID: 2314af65-b928-42a9-91eb-6372909ab4f5 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2314af65-b928-42a9-91eb-6372909ab4f5|Type: FDA RefID: 1edd220d-d151-4177-9a29-9fee36489fb7 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1edd220d-d151-4177-9a29-9fee36489fb7"
"CHEMBL137";"CHEMBL137";"METRONIDAZOLE";"Black Box Warning";"nephrotoxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011056";""
"CHEMBL4594333";"CHEMBL4594333";"ELIVALDOGENE AUTOTEMCEL";"Black Box Warning";"dermatological toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011048";""
"CHEMBL3545252";"CHEMBL92";"DOCETAXEL ANHYDROUS";"Black Box Warning";"gastrointestinal toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011050";"Type: DailyMed RefID: a6417655-9448-4886-ba03-f57f36bcbd14 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a6417655-9448-4886-ba03-f57f36bcbd14|Type: DailyMed RefID: c00998dd-f859-435b-925b-4335299eaab3 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c00998dd-f859-435b-925b-4335299eaab3|Type: FDA RefID: 6b9999bb-869e-4d25-838c-23c3ab280044 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6b9999bb-869e-4d25-838c-23c3ab280044|Type: FDA RefID: 4763744e-360e-4d37-be05-cce4114548cd URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4763744e-360e-4d37-be05-cce4114548cd"
"CHEMBL1200681";"CHEMBL787";"MONTELUKAST";"Black Box Warning";"cardiotoxicity";"None";"['United States']";"[None]";"None";"None";"EFO:1001482";""
"CHEMBL754";"CHEMBL666";"FOSCARNET";"Black Box Warning";"dermatological toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011048";""
"CHEMBL359744";"CHEMBL53463";"DOXORUBICIN";"Black Box Warning";"carcinogenicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011046";"Type: DailyMed RefID: ae80bd3a-b99a-4e01-a444-b9d05687f00e URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ae80bd3a-b99a-4e01-a444-b9d05687f00e|Type: DailyMed RefID: d928625e-c1ef-4f25-8d25-764c8c6aab67 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d928625e-c1ef-4f25-8d25-764c8c6aab67|Type: DailyMed RefID: 8fa04d6d-ac9f-437a-9891-fed0d90a789d URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8fa04d6d-ac9f-437a-9891-fed0d90a789d|Type: DailyMed RefID: 6bcde92b-e584-4919-866a-68847ea201ba URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6bcde92b-e584-4919-866a-68847ea201ba|Type: DailyMed RefID: 33ddfdb1-b4bc-464d-a186-49c4b156279f URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=33ddfdb1-b4bc-464d-a186-49c4b156279f|Type: FDA RefID: 3a57ce24-f931-4db9-b012-6f3b5cba548e URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3a57ce24-f931-4db9-b012-6f3b5cba548e"
"CHEMBL1201163";"CHEMBL658";"SUFENTANIL";"Black Box Warning";"respiratory toxicity";"None";"['United States']";"[None]";"None";"None";"EFO:0011060";"Type: DailyMed RefID: 8b580f3d-e3b5-4086-b093-87a980631147 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8b580f3d-e3b5-4086-b093-87a980631147"
"CHEMBL1201587";"CHEMBL1201587";"ALEMTUZUMAB";"Black Box Warning";"infectious disease";"None";"['United States']";"[None]";"None";"None";"EFO:0005741";"Type: DailyMed RefID: 4f5f7255-7abc-4328-bd1a-ceaf139ef3e0 URL: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4f5f7255-7abc-4328-bd1a-ceaf139ef3e0"
"CHEMBL468837";"CHEMBL468837";"HEPTABARBITAL";"Withdrawn";"drug misuse";"Fatal intoxications and abuse";"['Sweden']";"[1984]";"MONDO:0002491";"substance abuse";"EFO:0011049";"Type: WHO RefID: CL12.pdf URL: https://www.un.org/esa/coordination/CL12.pdf"
